id_usuario,id_cliente,nombre_usuario,clave_hash,tipo_mfa,estado,intentos_fallidos,ultimo_ingreso
7702,7702,user_7702,7f07ab57199703f2e0d6f9a9d83d837be02a5e738f7add7ac888e21edd8db924,Correo,Activo,0,2024-02-01 14:15:00
5474,5474,user_5474,5ace0baf48926b00a5a55555faf5820fa0f80f632cb5ac97fe33cc3bdd5a2b9b,SMS,Activo,0,2024-03-24 09:43:00
1764,1764,user_1764,a22b2b9346dee55e7cb10fc840ef636f967316d3202e6851f3685adefd4891f7,Correo,Activo,0,2024-09-03 19:02:00
5445,5445,user_5445,7477813c2d772dfe723c4f3457758103ba821298c931c5db6e489b9240871ebb,SMS,Activo,0,2024-02-07 13:32:00
9717,9717,user_9717,9de27fbf6b66448c9fe8f741e03b5717317ee317b413228910b270df1bbd5453,Correo,Activo,0,2024-01-18 12:45:00
9015,9015,user_9015,0732ca77272e87f988fa59c596f2e41ea177c7cec122974092ec60294f98068c,Correo,Activo,0,2024-12-18 19:14:00
8774,8774,user_8774,b56599bd535d756719857677e34c5f5fb6a81275e45bdd2f3b7a313e2e64b6b4,App,Activo,0,2024-10-09 06:48:00
6526,6526,user_6526,3d35276f8e05ac15c95e3e5c02a8a7be071685c49e7a55c820a539b6714c036d,SMS,Activo,0,2024-12-14 16:17:00
9028,9028,user_9028,e54686cfb2c76f8d0077dae9da08c8f5ff3544b05a0225fdc98ed4a573341ccd,SMS,Activo,0,2024-04-25 16:06:00
3949,3949,user_3949,883b0c2f580c3a40ad2610d70bf8bfee35ab355dab3600a1d5b90cbc72e9866d,SMS,Activo,0,2024-07-04 17:54:00
6619,6619,user_6619,0409181ebca13cb1cd18a814acc3caa8924ba9d98f07d92593f900c56d110abe,App,Activo,0,2024-10-09 07:46:00
6975,6975,user_6975,0970c55a3b96f3c24f1761b3aed6bbc683ed35d75a409bb0d73153d118e80b45,Correo,Bloqueado,4,2024-02-13 08:35:00
2455,2455,user_2455,34a7ee2e697ccc0feab0bf089439d493d41894ebd4c0d6f4ea1b9469c0003c9a,App,Activo,0,2024-11-20 17:36:00
7500,7500,user_7500,5bc2c005b6b34f92fea8304a5c0fbfed884d84003b4f17fdda25d4b73fad7b0b,SMS,Activo,0,2024-12-03 07:42:00
5784,5784,user_5784,83e22615fa64bd5af6f719cae3023cc79bc23443b5b08c68bd6b122cfc4ecf49,SMS,Activo,0,2024-05-03 13:55:00
1445,1445,user_1445,ac3d3d0cbf0b324ccacfa8b0ed573b0e253d0b34c3910f724c6d833fc532429d,SMS,Activo,0,2024-07-09 20:40:00
6773,6773,user_6773,5fa500f3eba4343685cced989d036763ba4ead77cdac00c4d2578a809e646def,App,Activo,0,2024-03-12 17:13:00
2173,2173,user_2173,14e6a4db3374073d33a91c3f6d754d1d185750e4def176560dc39eb0bd7c5d69,Correo,Activo,0,2024-05-23 08:38:00
2665,2665,user_2665,dfa26d8b4a1632ba588d27a5cb3ff409e743f200a92dd7b281ff29dbca920ae8,Correo,Activo,0,2024-03-18 13:10:00
4955,4955,user_4955,ae6f8c88d103dbf60578e25e77f5547698adec29a4823472a696ba5f322bb48d,App,Suspendido,4,2024-05-21 13:43:00
